hostname,phagename,infection
Staphylococcus_xylosis,NC_029010,NoInf
Pseudomonas_aeruginosa,NC_029019,Inf
Achromobacter_xylosoxidans,NC_029033,Inf
Acinetobacter_baumannii,NC_029033,NoInf
Citrobacter_freundii,NC_029033,NoInf
Enterobacter_aerogenes,NC_029033,NoInf
Enterobacter_cloacae,NC_029033,NoInf
Enterobacter_sakazakii,NC_029033,NoInf
Escherichia_coli,NC_029033,NoInf
Klebsiella_pneumoniae,NC_029033,NoInf
Pseudomonas_aeruginosa,NC_029033,NoInf
Raoultella_ornithinolytica,NC_029033,NoInf
Serratia_marcescens,NC_029033,NoInf
Shigella_sonnei,NC_029033,NoInf
Vibrio_parahaemolyticus,NC_029033,NoInf
Erysipelothrix_rhusiopathiae,NC_029078,Inf
Staphylococcus_aureus,NC_029078,NoInf
Streptococcus_suis,NC_029078,NoInf
Bacillus_subtilis,NC_029101,NoInf
Escherichia_coli,NC_029101,NoInf
Klebsiella_pneumoniae,NC_029101,NoInf
Pseudomonas_aeruginosa,NC_029101,Inf
Salmonella_enterica,NC_029101,NoInf
Staphylococcus_aureus,NC_029101,NoInf
Aeromonas_hydrophila,NC_029102,NoInf
Aeromonas_salmonicida,NC_029102,NoInf
Citrobacter_freundii,NC_029102,Inf
Enterococcus_faecalis,NC_029102,NoInf
Enterococcus_faecium,NC_029102,NoInf
Escherichia_coli,NC_029102,Inf
Klebsiella_pneumoniae,NC_029102,NoInf
Listeria_innocua,NC_029102,NoInf
Listeria_monocytogenes,NC_029102,NoInf
Photobacterium_damselae,NC_029102,NoInf
Proteus_mirabilis,NC_029102,Inf
Proteus_vulgaris,NC_029102,NoInf
Pseudomonas_aeruginosa,NC_029102,NoInf
Pseudomonas_fluorescens,NC_029102,NoInf
Pseudomonas_gingeri,NC_029102,NoInf
Pseudomonas_putida,NC_029102,NoInf
Pseudomonas_segetis,NC_029102,NoInf
Salmonella_enterica,NC_029102,Inf
Shigella_flexneri,NC_029102,Inf
Staphylococcus_aureus,NC_029102,NoInf
Vibrio_anguillarum,NC_029102,NoInf
Vibrio_fischeri,NC_029102,NoInf
Vibrio_parahaemolyticus,NC_029102,NoInf
Achromobacter_xylosoxidans,NC_029106,Inf
